_id,company_id,category,Question,Answer,keywords
kb1,68d15d172dfb09cea922278a,Account,How can I reset my account password if I forget it?,You can reset your password by clicking “Forgot your password?” on the login page. A secure reset link will be sent to your registered company email. Follow the link to create a new password.,"password, reset, forgot, email, account, login"
kb2,68d15d172dfb09cea922278a,Account,How do I change the default password assigned to me?,"After logging in for the first time using your default password, go to your Profile and update your password.","default password, change password, security, account, profile"
kb3,68d15d172dfb09cea922278a,Account,What information do I need to log in to the system?,"To log in, you need your company email, assigned role, and the default password that was sent to you via email.","login, credentials, employee ID,  system"
kb4,68d15d172dfb09cea922278a,Onboarding,Where can I access the content assigned to me?,"All onboarding content assigned by your Supervisor or the company Admin appears on your dashboard. You can open each item to read, acknowledge, and complete quizzes (if available).","content, assigned, training, dashboard"
kb5,68d15d172dfb09cea922278a,Onboarding,How do I mark a content item as complete?,"Open the assigned content, review the material, complete any required MCQs, and acknowledge it if prompted. Once done, your progress bar will update automatically.","MCQ, acknowledgement, complete content, progress"
kb6,68d15d172dfb09cea922278a,Onboarding,What does my progress bar represent?,"The progress bar shows the percentage of onboarding tasks completed, helping you monitor your training progress.","progress bar, training progress, onboarding status"
kb7,68d15d172dfb09cea922278a,Support,How can I contact my supervisor if I need help during onboarding?,Your supervisor’s contact details appear on your dashboard. You can also use the built-in messaging feature in the Irshad system to reach out.,"supervisor, contact, help, support, communication"
kb8,68d15d172dfb09cea922278a,Tools,How do I use my to-do list?,"The to-do list allows you to add, edit, and complete tasks. Use it to stay organized and ensure you finish all assigned materials and meet deadlines.","to-do list, tasks, organization, onboarding tasks"
kb9,68d15d172dfb09cea922278a,HR,What topics are covered in the HR orientation at Majestic International?,"HR orientation includes company history, mission, values, workplace ethics, confidentiality, documentation submission, employee benefits, and compliance with labor and internal policies.","HR orientation, company values, documentation, policies"
kb10,68d15d172dfb09cea922278a,HR,Where can I learn about leave and attendance policies?,You can find leave and attendance information in the HR policies section of your onboarding content. These topics are also covered during HR orientation.,"leave, attendance, HR policies, orientation"
kb12,68d15d172dfb09cea922278a,IT,How do I report a technical issue?,Report technical issues through the company's IT ticketing system. Updates and resolutions will appear in the IT support portal.,"technical issue, IT support, ticketing, help"
kb13,68d15d172dfb09cea922278a,Finance,How do I submit expenses for reimbursement?,The Finance department trains employees on the travel and expense reporting system. You can submit receipts and reimbursement requests through the designated digital platform.,"expenses, reimbursement, finance, receipts"
kb14,68d15d172dfb09cea922278a,Marketing,Where can I find Majestic International’s brand guidelines?,"Brand identity standards, communication templates, and messaging rules are provided during Marketing onboarding to ensure consistent company communication.","brand guidelines, marketing, communication templates"
kb15,68d15d172dfb09cea922278a,Company Overview,What is Majestic International’s mission?,"Majestic International’s mission is to drive innovation in sustainable infrastructure and digital transformation, enabling global teams to deliver energy-efficient and socially responsible projects.","what,is,majestic"
kb16,68d15d172dfb09cea922278a,Company Structure,How many departments does Majestic have?,"Majestic has six core departments: HR, IT, Finance, Marketing, Engineering, and Compliance — all connected through a unified management platform.","how,many,departments"
kb17,68d15d172dfb09cea922278a,IT,What does “Acknowledge” mean in my assigned content?,It means confirming you have read and understood the material. Some compliance or policy modules require acknowledgment before completion.,"what,does,'acknowledge'"
kb18,68d15d172dfb09cea922278a,Sustainability,What are Majestic’s core values?,"Majestic values integrity, innovation, sustainability, and collaboration. Employees are expected to act responsibly and support team growth.","what,are,majestic’s"
kb19,68d15d172dfb09cea922278a,Motivation,What is Majestic’s focus in sustainability?,"Majestic focuses on building energy-efficient infrastructure, integrating renewable technologies and eco-friendly designs across projects.","what,is,majestic’s"
kb20,68d15d172dfb09cea922278a,Company Overview,I’m behind on my onboarding. What should I do?,"Begin with your overdue items, complete them step by step, and contact your supervisor if you need guidance. Consistency is key.","i’m,behind,on"
kb21,68d15d172dfb09cea922278a,HR,What documents do I need to submit before my first day?,"You must complete all pre-boarding documents including contract, confidentiality agreement, and HR compliance forms.","onboarding,documents"
kb22,68d15d172dfb09cea922278a,HR,Will I be introduced to the company’s mission and values?,"Yes. HR provides sessions covering the company’s history, mission, values, ethics, and diversity initiatives.","mission,values,orientation"
kb23,68d15d172dfb09cea922278a,HR,Where can I learn about attendance and leave policies?,"These are included in HR onboarding modules covering attendance rules, leave requests, and workplace guidelines.","attendance,leave"
kb24,68d15d172dfb09cea922278a,HR,How do I learn about my benefits package?,"HR provides structured modules explaining compensation, healthcare, retirement, and employee assistance programs.","benefits,compensation"
kb25,68d15d172dfb09cea922278a,Finance,How do I submit travel or expense claims?,"You will receive training on the travel and expense reporting system, reimbursement rules, and approvals.","expenses,travel"
kb26,68d15d172dfb09cea922278a,Finance,When will I get my payslip and how do I access it?,Finance onboarding explains how to access payslips and understand salary breakdown through the payroll system.,"payslip,payroll"
kb27,68d15d172dfb09cea922278a,Finance,What is the process for requesting materials or purchases?,"You will be trained on procurement procedures, purchase requisitions, and vendor interaction guidelines.","procurement,purchase"
kb28,68d15d172dfb09cea922278a,Finance,What financial compliance rules must I follow?,"You will learn anti-fraud policies, accountability rules, and required compliance regulations.","finance,compliance"
kb29,68d15d172dfb09cea922278a,IT,How do I set up my company login and access systems?,"IT onboarding covers credentials, MFA setup, and system access permissions.","login,access"
kb30,68d15d172dfb09cea922278a,IT,What tools and software will I be using?,"IT trains new hires on hardware, email, communication platforms, and enterprise systems.","software,tools"
kb31,68d15d172dfb09cea922278a,IT,What cybersecurity rules should I follow?,"Onboarding includes cybersecurity training: phishing awareness, password rules, and incident reporting.","cybersecurity,security"
kb32,68d15d172dfb09cea922278a,IT,How do I get IT support if something breaks?,You will be shown how to use the IT ticketing system and the IT helpdesk.,"support,helpdesk"
kb33,68d15d172dfb09cea922278a,Marketing,Where can I learn the brand guidelines?,"Marketing onboarding explains brand identity, messaging rules, and communication standards.","brand,marketing"
kb34,68d15d172dfb09cea922278a,Marketing,How do I request approval for a marketing campaign?,"You will be trained on the campaign approval workflow, planning steps, and reporting.","campaign,approval"
kb35,68d15d172dfb09cea922278a,Marketing,What marketing tools am I expected to use?,"Marketing provides training on templates, content tools, and approved communication channels.","tools,marketing"
kb36,68d15d172dfb09cea922278a,General,Will I learn how other departments work?,Yes. The onboarding framework includes cross-department awareness training.,"departments,orientation"
kb37,68d15d172dfb09cea922278a,General,Will I get a personalized training plan?,Training is role-specific and customized based on position and department.,training plan
kb38,68d15d172dfb09cea922278a,General,Will I have access to refresher training later?,Yes. The system provides ongoing learning modules and policy updates.,"refresher,training"
kb39,68d15d172dfb09cea922278a,General,Who should I contact if I face issues during onboarding?,You should contact your assigned Supervisor or HR representative depending on the issue.,"support,help"
kb40,68d15d172dfb09cea922278a,General,How do I know which tasks are urgent?,Urgent tasks are labeled with deadlines or priority flags in your dashboard.,"urgent,deadlines"
kb41,68d15d172dfb09cea922278a,HR,Will I receive training on workplace ethics?,"Yes, HR provides training on ethics, professional conduct, and company expectations.","ethics,conduct"
kb42,68d15d172dfb09cea922278a,IT,What should I do if I get locked out of my account?,You can request an account unlock through the IT helpdesk or contact support.,"locked out,account"
kb43,68d15d172dfb09cea922278a,Onboarding,Can I redo a completed training module?,"Yes, completed modules can be revisited anytime for review.","redo,training"
